,_id,category_code,city,country,founded_year,geoDescription,latitude,longitude,name,number_of_employees,total_money_raised,number of offices near,money by offices,employee by offices,Rank_employee,Rank_money,Rank_offices,ranking_total
47,5d2737547bf280155f2160ba,tech,London,GBR,2008,"{'type': 'Point', 'coordinates': [-0.1262362, 51.5001524]}",51.5001524,-0.1262362,TweetDeck,5.0,3800000,16,237500.0,24.125,28.5,12.0,51.0,47.1
48,5d2737547bf280155f2160e2,tech,PARIS,FRA,2007,"{'type': 'Point', 'coordinates': [2.3216223, 48.8545738]}",48.8545738,2.3216223,EcoVadis,50.0,1400000,10,140000.0,25.2,41.0,4.0,43.0,45.0
49,5d2737547bf280155f2160a6,tech,London,GBR,2007,"{'type': 'Point', 'coordinates': [-0.0766034, 51.5220072]}",51.5220072,-0.0766034,Bragster,10.0,3500000,17,205882.35294117648,23.823529411764707,23.5,10.0,54.5,43.900000000000006
50,5d2737547bf280155f216097,tech,Tel-Aviv,ISR,2007,"{'type': 'Point', 'coordinates': [34.7595, 32.0554]}",32.0554,34.7595,Flixwagon,10.0,2500000,5,500000.0,23.8,20.5,25.5,23.5,42.1
51,5d2737547bf280155f216117,tech,Paris,FRA,2009,"{'type': 'Point', 'coordinates': [2.3509871, 48.8566667]}",48.8566667,2.3509871,Ykone,10.0,1500000,11,136363.63636363635,24.727272727272727,32.5,3.0,46.0,40.3
52,5d2737547bf280155f21611c,enterprise,London,GBR,2008,"{'type': 'Point', 'coordinates': [-0.1262362, 51.5001524]}",51.5001524,-0.1262362,oneDrum,5.0,1000000,16,62500.0,24.125,28.5,1.0,51.0,38.3
53,5d2737547bf280155f2160d5,social,London,GBR,2007,"{'type': 'Point', 'coordinates': [-0.0925694, 51.5027669]}",51.5027669,-0.0925694,SocialGO,12.0,3000000,17,176470.58823529413,23.176470588235293,14.5,7.0,54.5,36.1
54,5d2737547bf280155f21610f,news,,FRA,2007,"{'type': 'Point', 'coordinates': [2.3935987, 48.8711089]}",48.8711089,2.3935987,Rue89,20.0,1840000,9,204444.44444444444,23.555555555555557,18.0,9.0,42.0,34.8
55,5d2737547bf280155f216108,tech,Paris,FRA,2008,"{'type': 'Point', 'coordinates': [2.4476331, 48.8952712]}",48.8952712,2.4476331,WEEZEVENT,20.0,1100000,2,550000.0,20.0,13.0,29.0,5.5,33.2
56,5d2737547bf280155f2160b9,education,Amsterdam,NLD,2007,"{'type': 'Point', 'coordinates': [4.912106, 52.354525]}",52.354525,4.912106,Myngle,17.0,2100000,6,350000.0,12.0,7.0,16.0,32.5,30.0
57,5d2737547bf280155f2160b1,tech,Asnieres sur seine,FRA,2007,"{'type': 'Point', 'coordinates': [2.2860418, 48.9064804]}",48.9064804,2.2860418,SquareClock,10.0,1250000,3,416666.6666666667,15.0,12.0,20.0,14.5,29.0
58,5d2737547bf280155f216099,tech,Helsinki,FIN,2007,"{'type': 'Point', 'coordinates': [24.9410012, 60.1681494]}",60.1681494,24.9410012,XIHA,8.0,1000000,2,500000.0,7.0,3.0,25.5,5.5,24.400000000000002
59,5d2737547bf280155f2160c4,travel,Singapore,SGP,2011,"{'type': 'Point', 'coordinates': [-157.78907, 21.303049]}",21.303049,-157.78907,travelmob,4.0,1000000,2,500000.0,4.0,1.5,25.5,5.5,23.5
60,5d2737547bf280155f2160cb,travel,Singapore,SGP,2011,"{'type': 'Point', 'coordinates': [-157.78907, 21.303049]}",21.303049,-157.78907,travelmob,4.0,1000000,2,500000.0,4.0,1.5,25.5,5.5,23.5
61,5d2737547bf280155f216126,tech,Brussels,BEL,2009,"{'type': 'Point', 'coordinates': [4.3464721, 50.83997]}",50.83997,4.3464721,Getyoo,10.0,1130000,3,376666.6666666667,10.0,4.5,18.0,14.5,22.900000000000002
62,5d2737547bf280155f21609a,tech,Amsterdam,NLD,2007,"{'type': 'Point', 'coordinates': [4.8948623, 52.3745228]}",52.3745228,4.8948623,Wakoopa,8.0,1000000,6,166666.66666666666,12.0,7.0,6.0,32.5,22.0
